id;repayment_date;total_repayment_amt;installment_number;principle_paid_amt;interest_paid_amt;sur_charge_amt;over_due_amt;balance_interest_amt;balance_principle_amt;payment_mode;fore_closure_charge_amt;last_modified;last_modified_by;free_field_1;free_field_2;free_field_3;free_field_4;free_field_5;free_field_6
1;2022-09-28T10:24:33;16435;77390;77764;11305;69680;71640;55591;66459;OTHERS;56836;2022-09-28T16:17:35;Dynamic;Dinar;Group innovative Legacy;Keyboard;intranet;bypass;encompassing quantifying
2;2022-09-28T20:14:26;17588;31201;44863;64691;82828;12336;66183;71328;CHEQUE;97602;2022-09-29T00:39:38;Vista;Virginia GB calculating;innovate systems;payment;eco-centric;Exclusive;Global Bosnia matrix
3;2022-09-28T09:10:55;77468;50326;69954;88385;50756;60985;17146;96771;TRANSFER;88480;2022-09-28T09:00:49;Administrator;Upgradable Shirt;Adaptive multi-byte;hard;salmon SDD;visionary Sleek;THX override Dollar
4;2022-09-29T04:20:15;56208;37590;67842;25371;19586;33302;32692;42138;CHEQUE;91747;2022-09-29T00:50:35;Kyrgyz copying;Fresh Alabama Chair;panel payment Vermont;Shoes;auxiliary RSS salmon;quantifying Metal Turnpike;content Loan Brand
5;2022-09-29T00:13:12;62817;10669;39025;90510;19616;32229;21543;76816;TRANSFER;81854;2022-09-28T17:55:21;generate website;Ergonomic transmit Associate;magenta online Sleek;content-based;Turkish microchip;generate Table;capacity payment
6;2022-09-29T05:01:39;6614;56369;71602;26195;1065;93384;8806;37563;CHEQUE;70042;2022-09-28T22:01:30;Vista white;capacitor Licensed;Interactions Gourde;Public-key Borders;Investor card AI;Progressive;calculating Tenge Soft
7;2022-09-28T10:07:18;23928;74514;43416;38036;28348;7400;52841;61152;OTHERS;73659;2022-09-29T03:15:09;Soft Handmade;open PCI JBOD;interfaces 5th;orchestration Heights Incredible;Shoals;Granite rich Orchestrator;wireless withdrawal
8;2022-09-29T05:28:04;65102;69799;90831;66271;97005;48794;15568;85098;CASH;6107;2022-09-28T22:38:42;Borders Cambridgeshire;RAM Crest TCP;Sleek;Bedfordshire Refined Rue;global bypass wireless;Keyboard extensible Cambridgeshire;Borders navigating
9;2022-09-29T01:35:24;81018;84750;69067;3094;97595;53720;54573;28340;TRANSFER;93985;2022-09-28T12:52:25;info-mediaries Quality-focused;solution;contextually-based;green Re-engineered;paradigms;incubate systems Automotive;Dollar index
10;2022-09-28T06:55:46;98570;39294;78436;79244;76510;58358;66608;27088;CASH;76059;2022-09-29T05:28:26;Technician generate;matrices;Factors Associate Virginia;Won;Fully-configurable Dynamic;Handcrafted auxiliary copy;Montserrat Multi-tiered quantify
