id;next_val_member;next_val_loan_app;next_val_loan_account;next_val_voucher;free_field_1;free_field_2;free_field_3;free_field_4;free_field_5
1;2865;29247;31324;21046;17144;37340;5212;13673;82397
2;33545;47841;96102;79635;82517;22639;97903;57129;46990
3;65575;26385;12102;18670;64003;80049;74225;18798;67955
4;12415;58289;1483;17394;62937;8528;92633;56554;98290
5;34941;20378;99782;63438;76566;83336;62244;61741;149
6;95223;50556;71849;88861;69439;65649;38973;11018;79396
7;29281;50900;65998;47292;94885;33736;27748;83626;24368
8;18852;43148;768;10955;60592;70923;95717;31190;63433
9;45995;21363;12079;854;9554;29508;2163;94425;70376
10;98692;82633;7197;86906;88074;29454;13075;36511;92155
