id;voucher_date;voucher_no;prepared_by;code;narration;authorised_by;mode;is_deleted;last_modified;last_modified_by;free_field_1;free_field_2;free_field_3;free_field_4;free_field_5;free_field_6
1;2022-09-28T16:39:46;invoice Associate synergies;Mississippi projection grow;INVESTMENT;Concrete Bacon;contingency cross-platform;OTHERS;true;2022-09-29T01:18:36;Shilling revolutionary Kuna;withdrawal Unbranded Money;Handmade Central District;Tennessee;synergies;Identity wireless TCP;mobile
2;2022-09-28T19:25:48;Incredible HTTP;Response online experiences;SALES;syndicate solution Baby;Integrated Solutions;OTHERS;false;2022-09-28T11:05:26;withdrawal architectures;modular connect up;mesh Account Director;Belarussian portals Streamlined;connecting indexing;Mandatory Berkshire;Frozen Health vertical
3;2022-09-29T06:10:11;National bandwidth Plastic;real-time;LOAN;copy;Rubber Auto Bedfordshire;TRANSFER;false;2022-09-29T05:51:52;responsive Vanuatu yellow;directional Tools;Internal quantifying;override;Licensed Azerbaijanian Personal;optical superstructure;Land
4;2022-09-29T06:12:57;Kids;lime Innovative;ASSETS;indigo;Savings;TRANSFER;true;2022-09-29T00:54:22;base Steel;Account;Dakota integrate;Rubber Canadian Kina;application;Intelligent;synthesizing backing
5;2022-09-29T02:18:36;fresh-thinking;Pennsylvania;ASSETS;Manat extranet;Pines Cotton Towels;TRANSFER;true;2022-09-28T23:26:15;Indiana;Tasty Fresh;transmit harness programming;EXE Handcrafted;Guilder Florida;Principal green;Avon circuit
6;2022-09-29T04:14:24;Dakota Savings;withdrawal;DEPOSIT;generating cross-platform;Digitized;TRANSFER;false;2022-09-28T16:20:26;Caicos Steel cultivate;Wooden;parsing;real-time navigating;payment Cheese;Colorado;invoice Assimilated
7;2022-09-28T16:38:53;turn-key Account;parse;SHARES;Loan;Alaska;CASH;false;2022-09-28T21:18:39;compressing Fresh;Station matrices Loan;aggregate;compress disintermediate;Illinois Operative;copying initiatives Baby;robust North
8;2022-09-28T22:03:04;Lead Forward Generic;Avon Towels Credit;SAVINGS;parse payment;Danish;CASH;true;2022-09-28T23:57:03;deposit Avon;bifurcated bypassing Developer;Assistant;connect Fish Officer;Kwacha Borders;THX;SDR e-tailers
9;2022-09-28T16:03:09;Frozen feed;CSS;SAVINGS;Sausages;Jewelery Refined United;CHEQUE;false;2022-09-29T03:43:20;Regional Customer;Utah revolutionary Pre-emptive;Savings Tuna Quality-focused;Georgia Directives;Sports;Auto cross-platform;Adaptive Engineer dynamic
10;2022-09-29T04:47:21;scalable purposes architectures;Afghanistan Licensed;SHARES;Practical;Assistant;ONLINE;true;2022-09-28T14:38:40;Berkshire Outdoors invoice;Account Manager Manor;Towels Right-sized grow;Brazil Avon Web;Miquelon Reverse-engineered PNG;Quality-focused initiative Chicken;Mouse
