id;start_date;end_date;interest_basis;emi_basis;interest_type;intr_accrual_freq;penal_interest_rate;penal_interest_basis;penal_accounting_basis;min_interest_rate;max_interest_rate;extended_interest_rate;surcharge_rate;is_deleted;last_modified;last_modified_by;free_field_1;free_field_2;free_field_3;free_field_4;free_field_5;free_field_6
1;2022-09-28T19:47:34;2022-09-28T15:56:03;Checking Common invoice;Wooden;FLOATING;MONTHLY;89563;extensible Soft Home;microchip Tasty;96879;12867;12846;49497;true;2022-09-29T00:01:31;digital;Granite synergies Soft;Georgia Ouguiya evolve;AGP Programmable invoice;knowledge;Right-sized incremental Avon;intermediate
2;2022-09-28T18:45:13;2022-09-28T22:10:35;Personal;Mountain;FIXED;HALF_YEARLY;12111;Parks interfaces exuding;Path;9978;97071;29484;4759;false;2022-09-28T13:24:19;navigate;Codes;Cambridgeshire Savings;Industrial deposit Corporate;Cambridgeshire Baby;Metal Borders deposit;Profit-focused UIC-Franc transmitting
3;2022-09-29T01:59:04;2022-09-29T02:18:01;Ports Practical;parsing collaborative ADP;FIXED;MONTHLY;10191;Branding models;next-generation mission-critical Cheese;54109;32285;37722;72866;false;2022-09-28T14:08:41;Grenada;Borders;Tugrik primary;Liberian Incredible RSS;Norwegian;Team-oriented;Island programming
4;2022-09-29T02:09:32;2022-09-29T02:00:59;mobile;Bhutanese Avon;FLOATING;QUARTERLY;4677;withdrawal e-enable;Berkshire;64842;53096;10557;82829;true;2022-09-29T02:41:53;connect;Account;Borders matrix Fresh;disintermediate Interactions;See Agent;Factors withdrawal bi-directional;Arkansas override value-added
5;2022-09-28T16:14:09;2022-09-29T03:50:32;Administrator Cambridgeshire synergy;Markets;FLOATING;QUARTERLY;60997;Account Accounts open;task-force Configuration Clothing;72017;1082;6892;29609;false;2022-09-29T03:37:06;primary Web payment;Frozen;Avon Avon Corner;portals;e-tailers;Global;Kids
6;2022-09-28T06:45:46;2022-09-28T17:38:28;Borders invoice;Avon;FLOATING;HALF_YEARLY;89966;withdrawal TCP bypass;Table Inverse;37534;58382;44366;83003;false;2022-09-28T18:35:53;index;Rufiyaa Portugal;generate;Plastic Books Account;blockchains Solutions;transform Factors alliance;Seychelles
7;2022-09-28T15:30:01;2022-09-29T03:16:01;technologies Response Granite;driver;FLOATING;MONTHLY;24169;blue Director Progressive;modular Toys Hampshire;91161;44567;87756;53627;false;2022-09-29T02:03:46;Account panel;Secured;orchestration Web Tasty;South Berkshire;Bedfordshire;back-end Music;strategic Greenland
8;2022-09-28T14:51:57;2022-09-29T02:39:33;architect payment;digital open;FIXED;YEARLY;1446;Mouse;Concrete Small Cotton;24586;95681;40621;77276;false;2022-09-29T01:07:10;solid;action-items Cotton Georgia;Franc open;Djibouti Bike;Maine transmitting;syndicate Engineer;Liaison gold panel
9;2022-09-29T02:01:59;2022-09-28T11:41:18;Intelligent;Movies;FIXED;QUARTERLY;45639;SDR;Ariary copying;50097;17019;84501;60533;true;2022-09-28T16:43:30;application array Afghani;Account Concrete TCP;Cross-group;mobile;Plastic Home;Rustic FTP;parse
10;2022-09-28T11:54:09;2022-09-28T20:31:45;Assimilated Bedfordshire;collaborative;FLOATING;HALF_YEARLY;5244;navigate Marketing;Refined;26279;95227;63310;47266;false;2022-09-29T00:01:26;Re-contextualized;streamline interface Botswana;dynamic Pass;vertical;optical;Steel East generate;Curve communities transitional
