id;year;gross_income;expenses;net_income;paid_taxes;cash_surplus;income_type;is_deleted;last_modified;last_modified_by;created_by;created_on;free_field_1;free_field_2;free_field_3;free_field_4;free_field_5;free_field_6
1;payment;68797;20389;27965;92205;27821;OTHER_SOURCE;true;2022-09-28T08:51:21;Toys support Distributed;salmon Generic connecting;2022-09-28T17:49:13;Alabama;Unbranded methodologies;Intelligent Lead Haven;Massachusetts overriding Chips;SMS Gorgeous didactic;ADP Technician
2;Belize Group vortals;54130;53505;56184;93527;6005;PRINCIPAL_SOURCE;false;2022-09-28T18:43:36;plum Checking extensible;Mobility Borders Franc;2022-09-28T19:10:42;navigating Designer Maryland;mobile applications deliver;Directives Handcrafted Florida;Rubber;copy cross-platform Beauty;Gloves Representative microchip
3;Small Computers;32154;52328;4792;93719;13618;PRINCIPAL_SOURCE;true;2022-09-28T19:19:20;Implemented Ports;methodology Fantastic;2022-09-28T19:59:53;Mouse Concrete;generation Nebraska multi-state;Mission Chicken;synthesize;Courts;deposit
4;Handmade;17331;79785;79983;14811;67761;PRINCIPAL_SOURCE;false;2022-09-28T11:16:01;functionalities Loan;extensible Fantastic cross-platform;2022-09-28T10:41:30;pixel plum;Baby Berkshire;24/365 Florida Corporate;Incredible;Mongolia;Car calculating lime
5;Tunnel Object-based Fish;34111;89219;43523;597;57842;PRINCIPAL_SOURCE;true;2022-09-28T10:48:33;Rubber;Unbranded;2022-09-28T17:36:51;Electronics initiatives SSL;Yemen;Cambridgeshire;heuristic mission-critical;EXE Persistent;Inverse Account
6;array;58934;22798;76287;10106;62018;OTHER_SOURCE;false;2022-09-28T16:28:27;Manager Steel Director;payment utilize;2022-09-29T04:51:12;asymmetric Bedfordshire;override;bypassing circuit;generate;River;Customizable up project
7;Optimized Dong Forward;60248;40782;66801;41521;79377;PRINCIPAL_SOURCE;true;2022-09-28T09:29:28;Account Architect;Interactions yellow integrate;2022-09-29T00:58:16;e-commerce Ramp;hacking Rial;Baht;CFP Cheese deposit;circuit innovative Chicken;Analyst firmware
8;Concrete;69645;48274;84733;49094;45988;PRINCIPAL_SOURCE;false;2022-09-28T22:37:16;Hat Netherlands blue;synergy;2022-09-28T10:49:48;turquoise superstructure;solid Designer;Buckinghamshire initiatives Cross-platform;Future-proofed;Product Texas 1080p;Estate
9;Metal Bahamian;14784;71592;38152;63507;78904;PRINCIPAL_SOURCE;true;2022-09-28T14:17:05;azure;Incredible Maryland;2022-09-28T10:19:56;blue;online Granite;Investment teal infrastructure;Markets encompassing;orange Ports;Outdoors
10;bandwidth PNG throughput;13641;93681;69530;56464;85638;PRINCIPAL_SOURCE;false;2022-09-28T12:29:38;invoice parse HTTP;Money clicks-and-mortar Grass-roots;2022-09-28T10:10:01;Kids Berkshire Chicken;Rupee;Implementation synergy Mali;Account Colorado application;Mount;navigating
