id;asset_cost;asset_type;area_in_sq_ft;asset_nature;address;land_mark;asset_owner;completion_year;market_value;is_insured;is_under_used;is_owned;land_type;land_gat_no;land_area_in_hector;jindagi_patrak_no;jindagi_amount;last_modified;last_modified_by;created_by;created_on;is_deleted;free_field_1;free_field_2;free_field_3;free_field_4;free_field_5;free_field_6
1;37146;LAND;97720;COMMERCIAL;Account International;focus;Producer Plastic;Health;91245;true;false;true;Liaison;Lake relationships Montana;77984;Home 24/7 Rustic;88514;2022-09-29T00:15:31;hacking Rufiyaa mobile;Well;2022-09-28T08:42:07;false;Shoal;Gloves;deposit;Shoes Configuration;Pants override;Prairie Latvian
2;67559;INVESTMENT;81231;OTHER;azure Account;Mobility Division;Ball groupware Euro;hacking Facilitator;17964;false;true;true;Handmade;target JBOD quantifying;34554;Soap Som management;58544;2022-09-29T02:34:21;4th;Mozambique Christmas Bulgaria;2022-09-28T14:47:46;true;Industrial;integrated;indigo portal;JSON Gourde;Bacon deposit;auxiliary
3;24532;FLAT;63097;COMMERCIAL;front-end;payment Consultant;parsing;didactic;90216;false;false;true;Steel compressing invoice;impactful channels synthesize;22622;Polarised;33330;2022-09-29T04:57:14;ivory;York;2022-09-28T15:48:17;false;European;Account Congo;indigo Mall;Virtual Concrete clicks-and-mortar;payment Fantastic reboot;lime auxiliary withdrawal
4;25756;OTHERS;79288;OTHER;cross-platform Ergonomic Hungary;Pizza generating Forges;Self-enabling haptic;mobile plum web-readiness;29374;true;true;false;empowering;Concrete;3395;azure;86000;2022-09-28T18:28:50;blue;Dollar encompassing;2022-09-28T21:33:45;false;GB Steel;customer;Gloves application;Tasty Cambridgeshire;experiences National;Island Montenegro Auto
5;86444;FLAT;70233;RESIDENTIAL;Infrastructure;vertical infrastructure;Outdoors engine Producer;Incredible;805;false;false;false;bypassing;up;56129;generating primary aggregate;83665;2022-09-28T13:47:02;Indiana virtual Towels;system Point bluetooth;2022-09-28T12:28:17;true;Georgia dot-com;Team-oriented;Games paradigm;withdrawal RSS;connecting;multi-byte
6;90684;FARM_MACHINERY;19569;OTHER;Paradigm Lead Cotton;deposit;Small Compatible Birr;Program Bike value-added;50116;false;true;false;olive Communications;Rubber SDD monitor;52685;invoice microchip SAS;17301;2022-09-28T08:04:16;redundant Orchestrator;blockchains Viaduct;2022-09-28T14:35:33;true;compress one-to-one Security;experiences AI;Causeway multi-byte Gloves;Architect Practical;Borders payment;override monetize
7;59803;OTHERS;25451;RESIDENTIAL;AGP Program parse;International Dollar;web-readiness Small;Paradigm digital Account;67838;false;false;false;scalable;Cambridgeshire deposit;62533;Fish interactive;3888;2022-09-29T05:04:27;deposit magnetic;Bike;2022-09-28T20:27:38;true;Minnesota;New monitor Legacy;impactful Producer Music;Investor;synthesizing Money Lesotho;1080p
8;8832;INVESTMENT;82644;RESIDENTIAL;payment empower;Coordinator Plastic;Fantastic Accountability;Arabia Function-based;92977;true;false;true;Movies Pines Ergonomic;protocol;27172;Dale parse;60765;2022-09-28T15:30:41;Ohio Frozen;violet Compatible;2022-09-28T06:57:47;true;Horizontal incubate invoice;Unbranded;cyan driver overriding;Club Legacy Alley;Avon optical;Ergonomic Islands payment
9;44025;FARM_HOUSE;2887;RESIDENTIAL;bluetooth;orchestrate pink;Mill;Mouse hacking Grocery;20526;false;false;true;Visionary policy Handmade;Borders HDD;67012;Movies communities;78151;2022-09-29T06:11:21;RSS optical Vatu;generating;2022-09-28T16:53:44;false;parse Secured;bypassing;analyzing paradigms;next-generation hack Concrete;harness Metal;ROI Maryland
10;92215;FARM_HOUSE;34815;RESIDENTIAL;Salad Fantastic;scalable payment specifically;Rubber bandwidth;homogeneous;5327;true;true;false;vortals quantify;action-items orchestrate Tunisia;76509;ubiquitous;63629;2022-09-28T13:55:56;users Adaptive Metrics;Officer;2022-09-28T17:51:17;true;transparent;Kids;yellow;rich context-sensitive Licensed;infrastructure;Tasty
