id;npa_classification;duration_start;duration_end;provision;year;interest_rate;last_modified;last_modified_by;created_by;created_on;is_deleted;free_field_1;free_field_2;free_field_3;free_field_4;free_field_5
1;STANDARD;81795;53351;heuristic THX teal;84696;16338;2022-09-28T22:54:34;Sausages harness;Incredible;2022-09-29T02:04:07;false;Open-source Buckinghamshire productize;Cambridgeshire Frozen Group;calculate neural rich;Orchestrator knowledge Checking;Bedfordshire Cocos
2;SUB_STANDARD;10912;83111;Administrator;63560;63672;2022-09-29T04:43:18;Avon Frozen eco-centric;SMS Rupee silver;2022-09-29T02:17:06;true;Regional Lanka;Buckinghamshire Configuration;Personal;Camp;web-enabled RSS
3;SUB_STANDARD_ASSESTS;92674;57860;Developer Hat overriding;82352;74933;2022-09-28T10:44:26;TCP Reunion;Bedfordshire black;2022-09-28T15:43:40;false;Pike;benchmark monitor Assurance;magenta Mobility invoice;relationships monitor;quantify Investment Account
4;DOUBTFUL_3;39982;86706;Towels;5;40075;2022-09-28T21:57:10;optimize SSL circuit;User-centric e-business;2022-09-28T22:39:52;true;generate;utilize Borders Georgia;Wooden XSS Corporate;Stravenue e-business;overriding time-frame Branch
5;SUB_STANDARD_ASSESTS;81858;70827;Bike Neck 1080p;34935;64446;2022-09-28T11:42:22;Pants;Savings Wooden Wooden;2022-09-28T19:08:14;true;Buckinghamshire hack Object-based;online transition Sahara;Kwanza;migration;Manors Creek
6;DOUBTFUL_2;62271;59520;connect;68299;51752;2022-09-29T01:08:45;bandwidth-monitored;Michigan Metal;2022-09-28T11:45:59;true;Product fault-tolerant;Bike;generating Flats Savings;synergistic Cambridgeshire;Oman e-markets
7;DOUBTFUL_2;96179;96388;Wooden Tactics;49129;72368;2022-09-28T22:59:13;copying Intelligent quantifying;Future;2022-09-29T00:44:14;false;Pa'anga (Keeling);CSS Paradigm Oregon;deposit deposit;infomediaries Soft JBOD;Technician Buckinghamshire Home
8;SUB_STANDARD_ASSESTS;49442;13524;relationships Rubber Cheese;10740;70614;2022-09-28T08:06:11;Developer Ford Soap;Bedfordshire Qatar navigating;2022-09-28T10:27:35;true;Dynamic web-readiness;object-oriented Cyprus firewall;Spur Belize;Refined overriding;interactive
9;SUB_STANDARD;99751;72265;withdrawal wireless Reverse-engineered;31780;91204;2022-09-28T14:40:47;channels interface Puerto;Granite Mouse;2022-09-28T17:19:41;false;violet invoice driver;dot-com Uruguayo;Rustic streamline;Metrics;radical Wooden Soft
10;DOUBTFUL_3;62681;70590;application;95207;776;2022-09-28T11:43:30;Berkshire;Future withdrawal;2022-09-29T04:20:33;false;Illinois payment;Soft Clothing;Computer Andorra;Avon;Strategist engine Bedfordshire
