id;fd_duration_days;interest;lock_in_period;scheme_name;rd_duration_months;reinvest_interest;min_amount;last_day_of_scheam;last_modified;last_modified_by;created_by;created_on;is_deleted;free_field_1;free_field_2;free_field_3;free_field_4;free_field_5
1;89085;50033;64220;Cordoba;61412;false;6858;2022-09-28T11:35:53;2022-09-28T18:57:00;Drive generate;redundant convergence New;2022-09-29T02:10:34;false;enhance Granite visionary;Cotton Fantastic;wireless Islands hack;Greece Mississippi;scalable Home
2;81741;99114;97816;wireless Rustic;78337;false;23224;2022-09-28T12:40:29;2022-09-28T17:14:04;intuitive alarm synthesizing;Director;2022-09-28T18:56:25;false;red Integrated;quantifying neural cultivate;Frozen Mouse;seamless Open-architected;program Shirt Coves
3;86333;41342;90330;Avon Bacon;41981;true;40020;2022-09-28T17:28:58;2022-09-28T18:41:11;Forward Branch Towels;Investment;2022-09-28T22:56:26;true;challenge Bedfordshire;Consultant driver THX;Plastic;AI Gorgeous;override Synchronised
4;92005;1187;58422;Towels quantifying;97365;true;25571;2022-09-28T08:41:54;2022-09-29T00:31:50;Tenge;Corporate back-end Peso;2022-09-29T04:41:46;false;Washington;Technician SSL Malaysian;Peso Malagasy;channels Specialist synergies;Bedfordshire optimizing
5;25515;14129;38717;Toys Tuna turquoise;42075;true;41554;2022-09-28T07:25:43;2022-09-29T02:56:54;generate Concrete Berkshire;Supervisor Awesome Ball;2022-09-28T06:15:34;false;American;neutral;Common Object-based Buckinghamshire;IB vertical Auto;Generic Shoes
6;12498;77382;20764;bandwidth-monitored Liaison;16272;true;63201;2022-09-28T22:19:43;2022-09-28T10:42:26;clicks-and-mortar;stable web-enabled;2022-09-28T16:40:01;false;systems;International Berkshire generating;proactive Orchestrator deposit;Netherlands Kwacha New;Texas Buckinghamshire SCSI
7;44831;36144;50005;multi-byte Intelligent Guadeloupe;83948;false;47448;2022-09-28T08:19:38;2022-09-28T14:17:44;Forward Account;navigating;2022-09-29T05:45:16;false;Investment;Automated definition View;Phased copying;Focused Interactions;User-friendly Salad
8;31942;88268;90349;Oklahoma microchip;51787;false;41805;2022-09-28T16:12:01;2022-09-29T03:52:19;Arkansas Syrian;Louisiana array indexing;2022-09-28T12:25:44;true;Customer Universal;Planner;Fish;asymmetric Plastic;Analyst
9;84571;69719;37554;firewall Keyboard;60251;false;29094;2022-09-28T14:31:27;2022-09-28T13:49:55;content up;connecting;2022-09-28T16:40:45;false;Savings;Cotton Account;Kentucky Plastic;Freeway;Granite
10;13894;70440;99539;Checking Loan;40319;false;53509;2022-09-28T22:43:56;2022-09-28T22:29:13;Virtual SDD Ergonomic;payment calculating;2022-09-28T12:14:01;true;protocol ivory;auxiliary;value-added optical;Cotton;seamless system
