id;created_on;created_by;voucher_date;code;free_field_1;free_field_2;free_field_3;free_field_4;free_field_5;free_field_6
1;2022-09-29T04:30:13;violet recontextualize payment;2022-09-28T21:43:06;LOAN;circuit Grocery;Music back;Leu;navigating Toys synthesizing;COM Interactions;Analyst
2;2022-09-29T01:12:19;generate;2022-09-29T06:09:46;SALES;Intranet Vermont;proactive knowledge extensible;Alaska;Jersey Movies;generate Saint;British International dynamic
3;2022-09-28T15:41:19;Robust;2022-09-28T17:31:35;PURCHASE;Principal;Account Sports;Handmade Timor-Leste Micronesia;killer Garden parsing;JSON Vermont Personal;Sleek auxiliary
4;2022-09-28T23:15:24;out-of-the-box PNG;2022-09-29T02:22:32;SAVINGS;firewall Borders;Human Corporate Chips;FTP;Illinois;Concrete Group;Keyboard Agent
5;2022-09-29T01:16:09;Computers;2022-09-28T08:55:19;PURCHASE;Lead Kansas Cambridgeshire;strategize;Soap;Intranet;Compatible;fresh-thinking National
6;2022-09-28T23:26:24;Avon strategy experiences;2022-09-28T07:07:57;SHARES;withdrawal Sleek;Concrete empower RAM;Tools Liaison Agent;Operations;zero programming;sexy
7;2022-09-28T18:37:52;Orchestrator;2022-09-28T18:17:11;SAVINGS;index;Points;up Assimilated;Berkshire;Shilling Croatian;full-range synthesizing
8;2022-09-28T22:26:24;AGP;2022-09-28T22:57:14;DEPOSIT;Regional;standardization;benchmark;Anguilla;Gloves IB;Gloves compressing
9;2022-09-28T07:07:26;Buckinghamshire parse;2022-09-28T12:56:19;SALES;Product;quantify Soap PNG;Table XML strategize;Small zero SCSI;IB Wall world-class;Awesome Markets virtual
10;2022-09-28T19:33:55;Beauty Awesome;2022-09-28T07:38:13;PURCHASE;connecting;back cross-platform SQL;Multi-lateral Computer;enhance transmit;reboot;Somalia
