id;branch_name;description;branchcode;ifsc_code;micr_code;swift_code;iban_code;is_head_office;routing_transit_no;phone;email;web_site;fax;is_activate;branch_type;created_on;created_by;is_deleted;last_modified;last_modified_by;free_field_1;free_field_2;free_field_3;free_field_4;free_field_5
1;protocol Pound;Guinea-Bissau;sensor black;virtual Associate Tools;model;Shoes;Auto Representative HTTP;true;International;451-979-8383 x6241;Madison20@hotmail.com;envisioneer technologies;olive Sausages Synchronised;false;ZONAL_OFFICE;2022-09-29T01:00:44;Rubber sensor azure;empower Avon;2022-09-28T08:45:01;Sausages innovate fault-tolerant;Frozen;Engineer technologies;Home Azerbaijan;South Quality invoice;innovate
2;Rupee navigating Loan;Account system Director;Plastic Iraqi Internal;invoice;interface Buckinghamshire dedicated;SCSI strategic Buckinghamshire;Borders Investor Intranet;false;Executive;257-846-2237 x847;Markus_Ortiz@hotmail.com;pixel withdrawal Alley;Research;false;ZONAL_OFFICE;2022-09-28T11:07:48;bypassing Optimized Cambridgeshire;Mobility Uzbekistan;2022-09-28T11:34:52;withdrawal;Oklahoma Vision-oriented Baby;target Cheese SCSI;flexibility;Salad Profit-focused;value-added Forward facilitate
3;navigate Soft;User-friendly withdrawal;intranet Creative encryption;Front-line;Russian;monitor red;Games Mouse Salad;true;quantify Springs;785.628.8178;Trey_Littel@yahoo.com;Cambridgeshire Cambridgeshire;Sleek;false;BRANCH;2022-09-28T21:46:05;connecting;Intuitive overriding;2022-09-28T13:05:19;background Iceland;Account eco-centric;synthesize;Passage Practical Vision-oriented;array;parse Somoni methodologies
4;firewall Computer;transmit;Idaho;Peru compressing;optimize hacking empowering;Representative SSL Fresh;New parsing;true;Buckinghamshire calculating calculate;784.833.8419;Maurine15@gmail.com;primary;Rustic;false;BRANCH;2022-09-28T11:50:19;wireless;Analyst Investment;2022-09-29T05:55:11;Dynamic;optical relationships;Open-source RSS functionalities;Refined;hybrid deposit;fresh-thinking
5;open-source;Face Team-oriented compress;Quality Micronesia Plastic;schemas;AGP;indexing;exploit;false;Garden Communications;1-241-593-1073;Timmy64@yahoo.com;Dong website motivating;Outdoors array circuit;false;BRANCH;2022-09-28T17:25:07;Wisconsin seize Beauty;Granite parsing;2022-09-28T08:26:19;solution-oriented Krona transmitter;alarm;grid-enabled;quantifying;Checking open-source;Checking
6;Martin;Group utilize Texas;Investor Buckinghamshire;Garden Sleek;JBOD Computers;Intelligent;South Lats;false;Representative;1-531-591-5248 x072;Brooks.Schmidt55@hotmail.com;connecting;Business-focused Andorra Flats;false;ZONAL_OFFICE;2022-09-28T11:26:32;value-added;Berkshire Home Pants;2022-09-28T23:08:45;systems;solid budgetary Steel;payment;Account;withdrawal;Angola Tennessee feed
7;Monitored;viral killer;Assistant;maroon Belarus Cheese;Books compress Solutions;Mexico;Account technologies;true;Account;789.361.1186 x8783;Eloisa58@gmail.com;Freeway;architect Tasty product;true;BRANCH;2022-09-28T17:28:47;Computers;invoice digital grow;2022-09-28T19:07:05;AI Incredible;schemas Intelligent solid;Bedfordshire 1080p;bypassing HTTP;Tuna Market mindshare;Home Account Total
8;Cambridgeshire architectures;protocol customer;Pizza Dale Borders;virtual pixel Tennessee;Customer-focused sexy Books;index;Harbor;true;Concrete Ways;956-969-1891;Delmer_Wiza@yahoo.com;Delaware encompassing;Customer Avon;false;BRANCH;2022-09-29T01:47:47;withdrawal Sausages;Soft whiteboard;2022-09-28T06:39:21;Tools PCI Loan;Account;Fresh;invoice open-source Salad;system;indexing Bike
9;parse Plastic auxiliary;Alaska;mobile e-services;override;B2B auxiliary intermediate;payment;engage indexing;false;Forward Chair Throughway;(554) 908-2539;Elsa25@yahoo.com;Frozen Beauty;withdrawal monetize;true;ZONAL_OFFICE;2022-09-28T12:18:25;calculating card Kids;Polynesia;2022-09-28T20:27:16;purple Parks;withdrawal;auxiliary Dynamic Borders;Human Assistant;Generic Marketing;deposit Throughway Fresh
10;panel;Rubber violet;Books;Towels;supply-chains;web-readiness up;Small SDD silver;true;24/7;362-257-5974 x67037;Amber.Hermiston67@gmail.com;Shoes;engineer;false;BRANCH;2022-09-29T00:54:16;Supervisor orchid Street;(E.M.U.-6) Fresh Aruban;2022-09-28T12:04:36;haptic Monitored;fuchsia;IB strategic Wooden;SCSI Berkshire;Legacy interface Refined;silver protocol toolset
