id;prod_code;prod_name;bpi_treatment_flag;amortization_method;amortization_type;compounding_freq;emi_rounding;last_row_emi_threshold;grace_days;resch_lockin_period;prepay_after_inst_no;prepay_before_inst_no;min_installment_gap_bet_prepay;min_prepay_amount;foreclose_after_inst_no;foreclose_before_insta_no;min_tenor;max_tenor;min_installment_amount;max_installment_amount;drop_line_amount;drop_line_odyn;drop_line_perc;drop_mode;drop_l_ine_freq;drop_line_cycle_day;roi;is_deleted;last_modified;last_modified_by;free_field_1;free_field_2;free_field_3;free_field_4;free_field_5;free_field_6
1;Steel;Assistant;cross-platform Principal;wireless Computer;reboot magenta THX;THX;Centers Metal navigating;57853;43291;9654;32061;94707;54662;46442;91058;85179;82822;27988;55080;63810;30312;green Malagasy;32770;Drive Australian;Business-focused;16911;11502;true;2022-09-28T13:20:08;aggregate Security Data;Vermont auxiliary;COM Implementation Awesome;homogeneous Crossroad;Chips De-engineered Tunnel;Intelligent;pixel methodical quantifying
2;rich South Forward;Stand-alone Fantastic Sleek;AGP lavender;navigate brand up;systems Gorgeous;Brand;Plastic Cambridgeshire;16025;2730;91979;31837;53352;93272;51985;99958;6909;788;16003;67875;67286;61811;Mobility Arkansas Kids;88593;Global Industrial Concrete;Pants bypassing Chief;26258;54007;true;2022-09-28T13:36:01;Square Checking Coordinator;Product;Administrator CFA;Colombian B2C;bypassing Gateway Virtual;index Account Concrete;Soft
3;deposit clear-thinking focus;Loan;Small Congo Engineer;Account portals Berkshire;Wooden Concrete;Rwanda Account;grid-enabled Tasty Keyboard;552;97400;75149;11276;50912;79312;13356;97490;29877;6153;55191;41129;88756;75672;Future;44644;Agent Technician;orange;63521;28240;false;2022-09-28T06:37:22;efficient methodologies Future;transmitting Account;bluetooth;Utah Mouse;engage ROI Account;Cross-platform withdrawal primary;Product
4;Palladium Lebanon;Avon Nevada clicks-and-mortar;Rubber aggregate indexing;Computer PCI;Visionary Baby teal;Engineer;Refined;85207;85882;44144;63437;64895;64492;51196;38032;61034;55636;16931;68777;17140;38194;indigo;54696;Fish neural back-end;U.S. copying Dakota;68196;27586;true;2022-09-28T09:30:40;Account compress;auxiliary Oman Shirt;Pizza Metal;Account;paradigms Incredible radical;alarm;Marketing
5;plum Creative;distributed copy Ferry;technologies;Music Shoes Hampshire;Berkshire Games global;and visualize envisioneer;Borders next incentivize;90026;54338;52579;45939;93138;42295;86469;88539;3511;12780;58089;86844;46843;59519;RAM cutting-edge Soap;87124;overriding Steel eyeballs;Soap;32293;36825;true;2022-09-28T17:11:17;azure;Inlet SCSI Robust;Yen Realigned;Regional algorithm empowering;incubate;Planner Gorgeous Generic;Designer
6;e-commerce matrix mesh;bypassing Borders up;payment Leone;Designer withdrawal holistic;Qatar transmit;e-commerce online Bike;Jewelery Automotive override;78534;9565;54441;73663;5897;20966;8504;70036;21218;80774;55980;36312;14619;39329;convergence Lights Sleek;83785;Silver Highway;pixel Loan RSS;76018;93061;false;2022-09-28T22:17:00;Lake Home migration;Sleek Tuna policy;Human Soap;Fantastic e-business;visionary calculate Granite;Fantastic;Account indexing
7;synthesizing;Florida Islands;virtual;Checking expedite;hack optical Washington;invoice maroon;Expanded Square framework;77786;48027;34750;49532;94337;30855;73912;32322;67938;1500;26403;45773;77191;14160;Borders indexing AGP;2968;Steel metrics;global Accountability;53992;52633;true;2022-09-28T17:40:29;holistic Alabama index;azure Web;HDD Officer real-time;withdrawal Enhanced 60;innovate;Steel;lavender
8;initiative Corporate;Rue reintermediate;indexing;Metal;Point;capacitor Gorgeous;system Intuitive;79529;63549;8721;59259;34389;53065;70635;6076;21064;47601;54287;57656;746;11515;scalable pink;64647;quantify;Automotive;71139;57238;false;2022-09-28T06:22:06;Cambridgeshire Ouguiya;Berkshire gold cyan;Minnesota Functionality;quantifying mindshare;reciprocal RSS;purple Ergonomic Automotive;Extended Ergonomic deposit
9;Forward alarm XML;collaboration installation payment;Shoes District;Card Swaziland Arkansas;Cape;Electronics;Peso reintermediate quantify;68197;71640;36420;23440;77283;54243;22622;91584;12688;78160;4828;56590;12613;28544;Saint application;71111;Division forecast Balanced;alarm Fresh;86572;1783;true;2022-09-28T17:43:57;Visionary iterate well-modulated;Profound;productize Handmade;Strategist Customizable;Cheese Hawaii;Frozen Handmade Granite;matrix Krone
10;CSS;transmit Toys firewall;Dynamic Intranet;Analyst;Plastic;black;Rubber;31155;442;94491;26504;83903;40432;68037;89881;86467;6420;70223;20700;12355;90242;boliviano Marketing Frozen;77000;ubiquitous purple Self-enabling;Pataca;1971;13418;false;2022-09-28T17:27:27;red;challenge parse empower;Sports ADP policy;Fresh redundant;Producer parse solution;hard Future Planner;pink program
