id;loan_amount;application_no;status;loan_start_date;loan_end_date;loan_planned_closure_date;loan_closer_date;emi_start_date;loan_npa_class;parent_acc_head_code;loan_account_name;disbursement_amt;disbursement_status;repayment_period;year;processing_fee;moratorium;roi;last_modified;last_modified_by;free_field_1;free_field_2;free_field_3;free_field_4;free_field_5;free_field_6
1;84710;reboot Regional;PENDING;2022-09-28T16:33:49;2022-09-29T02:15:46;2022-09-28T07:57:03;2022-09-29T05:40:21;2022-09-28T22:09:04;STANDARD;Legacy;Bedfordshire;78326;Louisiana Internal paradigms;sticky;withdrawal withdrawal;52719;primary Facilitator;15175;2022-09-28T17:12:28;Light payment;Frozen fault-tolerant;compress incubate Infrastructure;Cotton;Salad;EXE;Account
2;41342;Incredible Park;DRAFT;2022-09-28T08:53:38;2022-09-29T05:44:31;2022-09-29T06:08:42;2022-09-28T10:23:04;2022-09-28T11:36:35;DOUBTFUL_1;orchestration;Principal Handmade Auto;21176;architecture;Licensed Territory;Alabama compelling;57178;1080p Gorgeous cross-platform;84393;2022-09-28T08:30:18;Rial Cotton;connecting quantifying;auxiliary;Brand Lights niches;Coordinator Total ADP;Unbranded;intangible synthesize firmware
3;36529;Awesome Optional;CLOSED;2022-09-28T12:28:12;2022-09-28T08:59:40;2022-09-29T04:06:29;2022-09-28T08:01:40;2022-09-28T09:12:16;DOUBTFUL_3;Data CSS Portugal;hard Borders;10641;Implementation Borders;indexing bluetooth Checking;facilitate;2762;XML Response;97440;2022-09-28T17:56:49;salmon;Assistant seize;recontextualize;extranet Iowa bleeding-edge;open-source pixel;connect Generic lime;Berkshire Optimization
4;8076;hacking communities;DISBURSED;2022-09-28T17:05:12;2022-09-29T03:37:45;2022-09-28T20:28:18;2022-09-28T14:35:54;2022-09-28T23:54:15;DOUBTFUL_2;input Industrial fresh-thinking;Bike firmware;13206;Fantastic payment bus;copy Electronics copying;payment port Car;69594;override;99305;2022-09-29T05:50:21;improvement architectures;Response Cotton Hat;Music Granite;Metrics;Barbados Identity Illinois;human-resource GB Ameliorated;hacking primary task-force
5;85969;Associate;CANCELLED;2022-09-28T07:58:24;2022-09-28T22:37:06;2022-09-28T17:57:00;2022-09-29T01:53:00;2022-09-28T17:41:47;SUB_STANDARD_ASSESTS;Krone Research bypassing;enable;21609;Games;indexing Berkshire;Infrastructure;66324;dedicated EXE Wooden;89434;2022-09-28T19:20:27;sexy;web clear-thinking Research;synergize Cotton enterprise;Baby HDD array;monitor;Granite payment Designer;online open-source
6;21307;Rustic concept;APPROVED;2022-09-28T23:59:49;2022-09-28T19:24:00;2022-09-28T20:04:28;2022-09-28T22:56:18;2022-09-28T23:50:32;STANDARD;AI toolset microchip;Franc harness;87441;Peso Card Division;Track national;Oregon;91796;Soft Optimization;74104;2022-09-28T12:29:16;leverage Soap;Samoa applications engineer;Avon;Branding Streets index;program JBOD parse;systematic Fresh USB;SDD connecting Refined
7;7804;best-of-breed metrics Movies;DRAFT;2022-09-28T22:16:44;2022-09-28T17:36:23;2022-09-28T16:35:58;2022-09-28T12:58:37;2022-09-28T21:03:47;SUB_STANDARD_ASSESTS;red;violet;87781;transitional invoice;Directives port payment;Regional Strategist;72529;Applications;71623;2022-09-28T16:20:30;architecture bluetooth sticky;protocol Cotton middleware;Zambian Licensed;Niger California Unbranded;Walks;Michigan;impactful Peru lime
8;47591;up deliverables capacitor;APPROVED;2022-09-28T10:57:17;2022-09-28T12:54:48;2022-09-28T14:36:56;2022-09-28T20:41:16;2022-09-28T07:38:44;STANDARD;Cameroon;open;61325;North intangible user-centric;bandwidth Berkshire;Guinea;47443;frictionless;5992;2022-09-29T02:17:28;Fresh SDD;holistic;overriding;California Drives;parse;HDD paradigm;Mississippi program Shoes
9;16990;compress clear-thinking Guyana;AWAITED_FOR_LEG_VAL;2022-09-29T04:59:09;2022-09-28T21:53:24;2022-09-28T20:58:41;2022-09-28T21:41:29;2022-09-28T20:26:11;STANDARD;Quality leading-edge neutral;Integration Metal;67245;sensor transmitter;copying Small;hierarchy Checking;1702;redundant redundant;37108;2022-09-28T18:01:11;Soft Upgradable;Mouse Account;frictionless;open-source help-desk Refined;AI;Metal Bedfordshire;Accountability Administrator Soft
10;84968;panel Home;CLOSED;2022-09-29T05:49:57;2022-09-28T20:13:52;2022-09-28T09:48:49;2022-09-29T01:21:24;2022-09-28T11:28:49;DOUBTFUL_2;e-enable Dollar) zero;cross-media Qatar;85411;payment Buckinghamshire cross-platform;quantifying Dakota;Sausages synthesizing;59500;SCSI Intelligent;81171;2022-09-28T12:07:49;Cambridgeshire;Brand online Plastic;Knoll orange;Toys extend XML;program;navigating Yemen Electronics;Personal Buckinghamshire
