id;limit_sanction_amount;dt_limit_sanctioned;dt_limit_expired;purpose;is_deleted;is_active;last_modified;last_modified_by;free_field_1;free_field_2;free_field_3;free_field_4
1;62940;2022-09-29;2022-09-28;Cambridgeshire;true;false;2022-09-29T02:35:24;Savings;Illinois;Rial Lari;Tools Lake;Granite
2;96156;2022-09-28;2022-09-28;program Oklahoma;true;true;2022-09-28T11:46:45;Regional withdrawal;withdrawal;Camp open-source Plastic;Shirt;Avon
3;63756;2022-09-28;2022-09-28;invoice auxiliary digital;false;true;2022-09-28T11:31:57;Automotive array;Bahamas;Concrete object-oriented;compelling;Pa'anga grow Salad
4;23661;2022-09-29;2022-09-29;Awesome Dong synergize;true;false;2022-09-29T00:27:54;scale fault-tolerant Automotive;markets;Louisiana;transmit SDD Tools;Wooden Wooden
5;19762;2022-09-29;2022-09-28;bypass Metal Cotton;false;false;2022-09-28T08:55:32;withdrawal;Customer Technician Generic;hack;Barbuda Consultant;Loan Integration Virginia
6;59760;2022-09-28;2022-09-28;XSS Internal;true;false;2022-09-28T22:52:15;Key Architect XML;Handcrafted recontextualize;Rubber Phased;transmitting Concrete Avon;National
7;25712;2022-09-28;2022-09-28;Manager;false;false;2022-09-28T23:57:50;up Administrator copy;analyzing Marketing budgetary;Optimization;Tuna card Division;hacking
8;37426;2022-09-28;2022-09-28;methodology;false;true;2022-09-28T11:57:33;Computer Guam;Refined;Maine utilisation SCSI;deposit Investment;orange Analyst Borders
9;2741;2022-09-28;2022-09-28;Kids connect green;true;true;2022-09-28T14:04:49;Ohio;Fresh Union Gorgeous;Toys;Metrics Ergonomic;functionalities
10;72021;2022-09-28;2022-09-28;transmitting cross-platform incentivize;true;true;2022-09-28T19:26:11;Madagascar;Data maximized;transitional;Loan;Granite network
