id;permission_name;description;last_modified;last_modified_by
1;Chips Product;Grocery empower;2022-09-28T14:51:38;Berkshire
2;backing Plastic Associate;payment;2022-09-28T10:07:41;Guarani
3;payment Steel Re-engineered;generate back Pants;2022-09-29T00:20:42;Cambridgeshire Carolina
4;invoice;Health;2022-09-28T13:28:32;Computer Legacy
5;Stravenue transmitter e-commerce;Fish optimize streamline;2022-09-28T20:59:58;pink Dollar syndicate
6;silver payment;digital Executive;2022-09-28T22:04:42;Business-focused Michigan
7;Streets Web;Investment;2022-09-29T02:18:21;Avon Shirt Fresh
8;Ergonomic Rhode Crest;Granite;2022-09-29T01:28:49;RAM programming pixel
9;Illinois Implemented;Computers Manager;2022-09-29T00:55:37;Louisiana
10;Automotive;Sports Concrete;2022-09-28T14:49:50;Producer 24/7 California
