id;massage;notification_type;is_action_required;free_field_1;free_field_2;last_modified;last_modified_by
1;Rustic Throughway;APPROVAL;true;Metal USB CSS;program next-generation;Wooden reboot;invoice payment
2;web-readiness calculate partnerships;REQUEST;true;Strategist;stable Intelligent;alarm compressing;Fresh payment Health
3;interface;APPROVAL;false;technologies client-server;Washington generation generate;Bacon Chair workforce;system
4;mobile Loan;TRANSFER;false;withdrawal Myanmar architectures;Licensed infrastructures Litas;Account Borders Barbados;Forward circuit Home
5;program Mexican;REQUEST;false;Rhode;override;GB Avon;payment
6;applications multi-byte;APPROVAL;false;groupware;port;Tasty panel Handcrafted;ivory Unbranded
7;Tennessee Franc;REQUEST;true;Rapid;human-resource Loan Account;Progressive Reactive;Algerian Shirt
8;Plastic driver connecting;APPROVAL;true;Manager International;Forward monitor Handcrafted;infomediaries wireless Legacy;Account bandwidth Germany
9;matrix;APPROVAL;false;Ergonomic XML;Key Account Cotton;Computer;Lights Ergonomic Profit-focused
10;world-class quantifying Greenland;APPROVAL;false;sticky;Estates Mountain;algorithm;Account visualize
