id;state_name;is_deleted;lgd_code;last_modified;last_modified_by
1;salmon;true;57211;2022-09-28T18:00:15;Avon
2;black Polarised;false;49800;2022-09-28T10:54:38;Fresh Chad
3;Borders transmitter;true;61905;2022-09-28T18:05:33;Auto conglomeration benchmark
4;Romania Mayen Streamlined;false;80355;2022-09-29T00:32:12;global Games
5;forecast;true;34875;2022-09-29T02:41:55;SAS Factors leading-edge
6;core Architect withdrawal;true;89219;2022-09-28T23:24:08;bluetooth
7;Jewelery process;true;6655;2022-09-28T19:32:27;Producer
8;Soft;false;85927;2022-09-29T05:58:25;transmitting Union Configuration
9;matrix;false;59886;2022-09-28T12:20:41;next-generation optical software
10;Liberia Soft Plastic;true;75824;2022-09-29T05:53:36;Forward mesh infrastructures
