id;acc_head_code;credit_account;debit_account;transfer_amt;is_deleted;last_modified;last_modified_by;free_field_1;free_field_2;free_field_3;free_field_4;free_field_5;free_field_6
1;Rustic Arkansas circuit;Markets;Michigan;14051;true;2022-09-28T12:26:52;Gloves;Lakes Ergonomic;Beauty;USB;blockchains Fork Advanced;task-force;Underpass markets Buckinghamshire
2;Avon invoice;Assurance Concrete aggregate;Multi-tiered TCP;89253;true;2022-09-28T14:44:05;Account orchid;HTTP;Mandatory Argentine;scalable Serbian Computer;Frozen info-mediaries;Falkland;iterate
3;seize;SDD gold;initiatives;3294;true;2022-09-28T18:03:24;Orchestrator back-end;Algerian;Planner;protocol Assistant;Shirt;vortals;green
4;Towels Berkshire;markets SCSI Assurance;Tools;9131;false;2022-09-29T00:32:30;salmon Producer;Keyboard state reciprocal;Syrian;Hills;Accounts;solid Optimized;Maine Program
5;Arizona;Refined enhance;plum communities Associate;54388;true;2022-09-28T17:33:51;reboot;drive Technician;Kyat;plum architect;overriding haptic architect;Borders Bedfordshire;Branding
6;Creative;Response optical bandwidth;Borders support;36426;true;2022-09-28T12:18:23;reinvent synthesize;mobile;Courts utilisation Quality-focused;B2B Borders;Soap Multi-channelled;support;Union indexing
7;Assimilated Hryvnia back-end;indexing e-services generating;Investment ivory RAM;52031;true;2022-09-28T12:35:28;Seamless;(customarily;parsing;Executive e-tailers Architect;Berkshire aggregate;Heard Customer Station;Cotton
8;Sausages;withdrawal empowering IB;black enterprise;63702;false;2022-09-28T11:42:54;Cameroon implementation;Market;Planner COM SDD;quantifying;FTP transition Usability;Senior Faroe back-end;Ameliorated portals GB
9;Shilling Loan RSS;indexing;back-end Lesotho metrics;37785;true;2022-09-29T00:47:57;Phased;e-tailers capacitor;Money program Rustic;Towels bandwidth Mexico;USB;indexing transmitting object-oriented;bus virtual City
10;primary;Ways;Seamless Factors Mouse;35937;false;2022-09-29T01:58:40;Market Health;Estates tan Officer;Greens Salad Tennessee;IB;Buckinghamshire;Mountain Buckinghamshire Shirt;HDD
