id;type;employer_name;status;designation;duration;employer_add;prev_company_name;prev_companyduration;org_type;constitution_type;industry_type;business_reg_no;comp_owner_ship;partner_name_1;partner_name_2;partner_name_3;is_deleted;last_modified;last_modified_by;created_by;created_on;free_field_1;free_field_2;free_field_3;free_field_4;free_field_5;free_field_6
1;PROFESSIONAL;maroon;CONTRACT;withdrawal;Cambridgeshire ADP;Designer;Hat;executive disintermediate Frozen;PRIVATE_SECTOR;PARTNERSHIP;TRADING;experiences hybrid Multi-layered;83386;Ergonomic Maine Proactive;invoice web-readiness Rue;productivity transition;true;2022-09-28T20:54:52;morph parse;Integration;2022-09-28T07:52:33;bluetooth compressing infrastructure;mindshare;open-source Communications Expanded;multi-state Bedfordshire Maryland;Tuna optical;Guatemala e-business
2;AGRICULTURE;Assurance bluetooth Ohio;CONTRACT;Nicaragua Grocery;Investment;digital auxiliary Leu;Ergonomic Bridge Berkshire;Global;PUBLIC_SECTOR;PARTNERSHIP;MANUFACTURING;Rica Ball SDD;29201;Cotton homogeneous Regional;International calculating value-added;analyzer;false;2022-09-29T04:57:39;bypass Investor;motivating Palestinian;2022-09-28T23:53:29;Ameliorated;tan Route;Seychelles Proactive;cohesive Account Electronics;Dynamic;Buckinghamshire quantify
3;PENSIONER;collaboration monetize;REGULAR;Direct Multi-channelled;Music Sleek directional;Belarus Assurance;open-source Account program;Solutions;PUBLIC_SECTOR;PVT_LTD_COMPANY;SERVICE_INDUSTRY;non-volatile;57833;Grocery Cambridgeshire;e-commerce Small;Grocery;false;2022-09-29T01:25:56;copying deposit;digital Implementation Norwegian;2022-09-28T10:54:40;4th Plastic;1080p;Hat Camp;revolutionary;Synchronised Borders;Officer
4;PENSIONER;Expanded Gloves navigating;REGULAR;hacking Chief;Tennessee parsing;Alaska Avon;card withdrawal;Iraq array Missouri;LOCAL_INDUSTRY;INDIVIDUAL;SERVICE_INDUSTRY;Drive generate Legacy;96815;Account background Gambia;whiteboard International;Concrete Texas Clothing;false;2022-09-29T04:39:24;Tuna Handmade Massachusetts;optical;2022-09-29T04:06:41;array content-based alarm;Salad implement Account;orange Future;Zimbabwe bypassing bluetooth;Computer IB silver;SCSI
5;SERVICE;Internal;PROBATION;transmit Bedfordshire;Architect synergistic Manager;Versatile;frame Berkshire;Handcrafted wireless Practical;GOVERNMENT_SECTOR;LLP;TRADING;Euro Avon;32280;Fantastic;zero;capacitor;true;2022-09-28T21:48:18;up;Berkshire Customer Tuvalu;2022-09-28T21:20:54;tan of input;client-driven (Slovak;Interactions vortals;withdrawal Bacon;access;Architect system synthesizing
6;SERVICE;bypass bypass Marketing;REGULAR;Garden;programming Indiana;communities;wireless hard US;Grocery Jewelery Chair;GOVERNMENT_SECTOR;INDIVIDUAL;SERVICE_INDUSTRY;Soap Brunei;69687;yellow indexing;Integrated;neutral Quality Mississippi;false;2022-09-28T20:59:23;program calculating;help-desk Strategist Concrete;2022-09-29T00:10:30;Dynamic;bandwidth Islands, Computers;indigo Dynamic wireless;payment;Refined Birr port;SSL
7;PENSIONER;Horizontal;CONTRACT;Nakfa;Bedfordshire Global;Cambridgeshire holistic;Cotton Underpass;Won Programmable Orchestrator;GOVERNMENT_SECTOR;PVT_LTD_COMPANY;SERVICE_INDUSTRY;Avon;23456;bifurcated Jamaica Frozen;Shoes ivory;Ball synthesizing;false;2022-09-29T02:13:44;web-enabled Movies;Rustic deposit bluetooth;2022-09-29T02:31:09;Cheese pricing;Zambia;Junction indigo;Supervisor sensor;circuit;Uzbekistan transmitting indigo
8;SALARIED;overriding;TEMPORARY;Home;Ergonomic Plastic;Incredible Sol Islands;bluetooth Vietnam;fuchsia Digitized monitoring;GOVERNMENT_SECTOR;SOLE_PROPRIETOR;MANUFACTURING;contextually-based;32739;deposit enhance Metal;CSS Bacon Hat;Books HDD Korean;true;2022-09-28T14:28:11;IB JBOD;French Litas Accounts;2022-09-28T18:19:22;back-end next-generation;Account;workforce Handmade overriding;Monitored copying primary;Account Usability Centralized;online Specialist online
9;SALARIED;Centers reboot violet;TEMPORARY;synergize;Salad Cambridgeshire Parkways;Republic;indexing Cambridgeshire Producer;Rustic Dong hack;PUBLIC_SECTOR;INDIVIDUAL;TRADING;Global parse;58067;visualize;Checking Wooden target;Tuna overriding transparent;false;2022-09-28T10:23:36;Guinea-Bissau;Franc Carolina Keyboard;2022-09-29T04:05:49;needs-based;Bedfordshire expedite;maximize exploit;transmit Mouse;Baby Salad;withdrawal
10;SELF_EMPLOYED;Bacon up;CONTRACT;complexity Program monetize;Courts envisioneer Intelligent;Cotton SDD Island;SMS Games Missouri;Division Administrator;LOCAL_INDUSTRY;PARTNERSHIP;SERVICE_INDUSTRY;up Gorgeous;75722;Pants Chips;Wooden invoice approach;Chief Tasty;false;2022-09-28T12:16:45;turquoise compressing maroon;Granite District system;2022-09-28T13:58:16;architect Fresh Toys;invoice technologies;Cloned Soap conglomeration;deposit out-of-the-box;e-services;plum
