id;application_no;demand_amount;loan_purpose;status;demanded_land_area_in_hector;season_of_crop_loan;loan_steps;is_insured;loan_benefiting_area;cost_of_investment;mortgage_deed_no;mortgage_date;extent_morgage_value;down_payment_amt;ltv_ratio;processing_fee;penal_interest;moratorium;roi;commity_amt;commity_roi;section_amt;senction_roi;year;assigned_to;assigned_from;security_doc_url;last_modified;last_modified_by;free_field_1;free_field_2;free_field_3;free_field_4;free_field_5;free_field_6;free_field_7
1;Kip;2059;bricks-and-clicks;APPROVED;80862;embrace;STEP_5;false;12177;77127;8369;2022-09-28T13:08:52;51769;92850;34650;13330;97259;Direct navigating;39971;15680;64447;81944;32915;schemas;52586;30273;California;2022-09-28T06:15:28;parsing;Engineer;programming bandwidth;Books AI Grocery;panel Proactive vortals;SQL Soft SAS;synthesize;methodologies
2;frame;16565;Rest USB;APPLIED;64500;copying Brooks monitor;STEP_6;true;84489;31500;73271;2022-09-28T21:28:02;86411;41786;32883;10742;24132;reboot architectures;55853;8115;44234;37855;56984;synergies Pants Licensed;97436;62245;monitor;2022-09-28T08:16:07;Account Metrics Rubber;Frozen copying;circuit Borders Pizza;District Fresh bypass;Avon Keyboard withdrawal;technologies Wyoming leverage;online;Granite
3;sensor;6200;Walk Applications Strategist;DRAFT;43413;port lime deposit;STEP_1;false;51011;69689;72118;2022-09-28T06:58:36;45595;56933;85941;33046;23266;Automotive payment product;9108;18465;93475;3834;87447;navigating;56477;83663;calculating withdrawal;2022-09-28T09:44:12;THX;input portals Generic;Borders Business-focused Peso;Assistant online Syrian;withdrawal Customer;dynamic;Account SMTP Global;cross-platform
4;analyzer;31516;revolutionize Canyon;APPLIED;59521;Account;STEP_3;false;81640;61151;76947;2022-09-29T03:53:03;84693;99880;86828;47600;14059;Bedfordshire;63758;47608;71365;75709;83164;Pants Concrete Account;94460;16812;CSS programming Industrial;2022-09-28T11:20:53;up override;Dollar Gorgeous Maine;indexing;Public-key;payment Administrator Belize;Station standardization;withdrawal Account;e-business 1080p
5;sticky bypass;43088;Music Cambridgeshire Curve;AWAITED_FOR_LEG_VAL;51594;interface Investment;STEP_2;true;72189;32873;47743;2022-09-28T06:34:03;77590;71436;38496;51999;2724;Garden Denmark;10457;45416;80548;54892;46680;next-generation;96756;26793;eyeballs;2022-09-28T09:01:26;white Cambridgeshire SCSI;Producer;Awesome Granite optical;reciprocal Optimization;panel Operations Bedfordshire;Dynamic Specialist payment;invoice Rand;Organized metrics
6;calculating bricks-and-clicks;6409;Sleek Expanded Cambridgeshire;AWAITED;19508;transmit Interface evolve;STEP_3;true;24981;29902;34714;2022-09-28T10:57:44;46112;64904;33377;3805;67736;Steel bottom-line;20047;16111;10301;14954;77948;Representative quantify Som;75421;9000;national implement input;2022-09-28T14:44:21;Administrator;transmitting;system Pines;Advanced;Dollar hacking Keyboard;Berkshire Division Response;paradigm Auto indexing;Frozen
7;Wisconsin Buckinghamshire Director;36591;sensor Small;PENDING;80149;object-oriented Configurable olive;STEP_3;true;286;55630;76525;2022-09-28T07:43:33;17996;70780;81137;36532;21200;Bedfordshire Avon;96274;61123;37666;74316;8271;Berkshire;92379;99067;Agent deliver bypass;2022-09-28T09:46:31;Tasty;e-tailers Central;Security Connecticut homogeneous;Cheese syndicate;mint bluetooth Eritrea;virtual;Harbor Frozen portals;green Via
8;invoice;28167;Cambridgeshire;ACTIVE;92609;Borders reboot cross-platform;STEP_3;true;99924;99405;44602;2022-09-28T22:08:47;43463;42239;21223;84949;31971;cyan;92990;75836;98217;31379;56729;synergize THX brand;75053;52542;Facilitator Summit Tuvalu;2022-09-28T06:33:24;Buckinghamshire virtual;Unbranded Card Officer;ivory compressing;Senior;HDD;Bedfordshire;Lead Response;synthesizing Kids
9;Generic Human;89258;index;AWAITED;25111;(E.M.U.-6) magenta Legacy;STEP_4;true;1331;75788;20181;2022-09-28T18:29:20;62028;61782;81721;48608;38802;world-class &;91415;11499;71012;93963;19678;action-items teal;74271;33436;Borders plug-and-play;2022-09-29T02:04:09;hardware capability;Nepalese;auxiliary Direct AI;Dinar Pants Rustic;Union Lead systemic;Sausages;Virginia Road;Moldova
10;full-range;95178;scalable PCI;AWAITED_FOR_LEG_VAL;47809;navigating Account end-to-end;STEP_6;true;39473;14256;20903;2022-09-28T11:38:17;31061;81547;43269;92353;37515;Loan back-end;52892;78669;36442;15451;11157;wireless empowering;70983;24586;RSS deposit;2022-09-28T11:04:15;haptic Adaptive Jewelery;Soft;Health;neural;Research encoding;Accounts;interface Cheese Soft;hack
