id;taluka_name;is_deleted;lgd_code;last_modified;last_modified_by
1;lavender Metal interfaces;false;23796;2022-09-28T13:35:29;Kip Account
2;Fish Legacy;true;81173;2022-09-28T10:16:05;customized Account Integrated
3;aggregate Awesome Fish;false;90604;2022-09-28T12:33:27;bypass copy Profound
4;Cotton Avon;true;51306;2022-09-28T06:43:41;monitor navigating programming
5;Hat Coordinator Technician;true;44105;2022-09-28T21:11:45;Cambridgeshire extend
6;interface Personal Netherlands;true;47222;2022-09-28T16:26:13;Arizona matrix
7;mobile Officer Marino;true;48117;2022-09-28T12:42:50;Distributed Tasty deposit
8;SDD primary;true;81991;2022-09-28T21:07:30;Pre-emptive
9;Keyboard;false;89331;2022-09-28T18:48:48;invoice Seamless indigo
10;payment Health;false;90414;2022-09-28T11:48:35;internet Handcrafted Small
