id;district_name;is_deleted;lgd_code;last_modified;last_modified_by
1;Executive Buckinghamshire plum;true;25550;2022-09-28T23:36:59;utilize Fresh cohesive
2;SCSI;true;70848;2022-09-28T06:33:13;copying Program
3;withdrawal cutting-edge;true;75096;2022-09-28T14:04:42;cyan Response
4;Expanded Computer Indiana;true;96025;2022-09-28T16:32:53;synthesize
5;Kwacha Frozen quantify;true;96016;2022-09-29T06:01:32;International
6;withdrawal Granite;false;5420;2022-09-28T19:05:56;Field Movies scale
7;Investment Steel Luxembourg;true;99911;2022-09-28T09:47:12;Total
8;mindshare Gorgeous;true;47979;2022-09-28T22:58:31;alarm Buckinghamshire
9;Analyst interactive Ridges;true;26685;2022-09-28T16:30:37;neural Implementation bandwidth
10;Kids;false;51770;2022-09-28T23:39:35;actuating
