id;city_name;is_deleted;lgd_code;last_modified;last_modified_by
1;aggregate;true;92821;2022-09-29T00:21:05;generate
2;EXE;false;61734;2022-09-29T01:34:58;Fresh copying
3;Functionality;true;19040;2022-09-28T22:12:10;Investor Loan Global
4;Dinar content;false;94147;2022-09-28T17:27:17;circuit Lithuania
5;Director Unbranded Car;false;89783;2022-09-28T23:11:02;Corporate deposit Dinar
6;reboot;false;11389;2022-09-28T23:39:34;withdrawal primary
7;Assimilated;true;80873;2022-09-28T14:02:53;Computer
8;Division Wooden modular;true;97504;2022-09-28T06:38:01;override Florida leverage
9;Liaison;true;96482;2022-09-28T11:19:58;next withdrawal Brunei
10;Sheqel International;true;51283;2022-09-28T12:56:52;Fresh
